productID,reviewerID,reviewerName,reviewText,rating,reviewLen,compound,neg,pos,neu,polarity,subjectivity,flair_sentiment,flair_scaled,Liked,Liked_tb,Liked_va
B00009W3PA,A1AHW6I678O6F2,kevin.,good item,5,2,0.4404,0.0,0.744,0.256,0.7,0.6000000000000001,0.882,0.03886689091782797,Liked,Liked,Liked
B0015UGPWQ,A1AHW6I678O6F2,kevin.,very nice product,5,3,0.4754,0.0,0.607,0.393,0.78,1.0,0.9863,0.038917011052378665,Liked,Liked,Liked
B001769IVI,A1AHW6I678O6F2,kevin.,a must for washers,5,4,0.0,0.0,0.0,1.0,0.0,0.0,0.9998,0.03892349831811629,Liked,Not Liked,Not Liked
B00009W3PA,A8R48NKTGCJDQ,CDBrannom,Fit my new LG dryer perfectly.,5,6,0.7717,0.0,0.626,0.374,0.5121212121212121,0.6181818181818182,0.9998,0.03892349831811629,Liked,Liked,Liked
B0015UGPWQ,A8R48NKTGCJDQ,CDBrannom,Fits perfectly,5,2,0.6369,0.0,0.808,0.192,1.0,1.0,0.9975,0.03892239308024988,Liked,Liked,Liked
B001769IVI,A8R48NKTGCJDQ,CDBrannom,A hose was included with our machine so we didn't need this. Otherwise it would have been fine.,3,18,0.2023,0.0,0.096,0.904,0.4166666666666667,0.5,-0.9975,0.037963719365689576,Not Liked,Liked,Liked
B00009W3PA,AR3OHHHW01A8E,Calvin E Reames,Good value for electric dryers,5,5,0.6486,0.0,0.639,0.361,0.7,0.6000000000000001,0.999,0.03892311388755407,Liked,Liked,Liked
B000NCTOUM,AR3OHHHW01A8E,Calvin E Reames,Did the job for fixing our Maytag dryer,5,8,0.0,0.0,0.0,1.0,0.0,0.0,0.9995,0.03892335415665546,Liked,Not Liked,Not Liked
B0015UGPWQ,AR3OHHHW01A8E,Calvin E Reames,Easy install on dryer,5,4,0.4404,0.0,0.492,0.508,0.43333333333333335,0.8333333333333334,1.0,0.03892359442575685,Liked,Liked,Liked
B0056I99WG,AR3OHHHW01A8E,Calvin E Reames,Perfect fit for Maytag dryer,5,5,0.7351,0.0,0.674,0.326,0.7,0.7,0.9999,0.038923546371936575,Liked,Liked,Liked
